School District,Population,Poverty,Census School Number
Nevis Public School District,2640,100,23370
New London-Spicer School District,9275,441,23400
New Prague Area Schools,20274,914,23430
New Ulm Public School District,19140,1187,23490
New York Mills Public School District,3782,386,23520
Marshall County Central Schools,2010,102,23550
Nicollet Public School District,2429,216,23580
North Branch Public Schools,20524,1253,23820
Northfield Public School District,28506,1975,23880
Ogilvie Public School District,3518,359,23970
Onamia Public School District,5287,901,25050
Orono Public School District,12525,589,25080
Osakis Public School District,3880,352,25140
Osseo Public School District,144921,10229,25200
Owatonna Public School District,29420,2818,28050
Park Rapids Public School District,12256,1581,28080
Parkers Prairie Public School District,2793,277,28110
Paynesville Public School District,6170,516,28140
Pelican Rapids Public School District,7372,846,28170
Rushford-Peterson Public Schools,4033,342,28290
Pierz Public School District,5428,380,28320
Pillager Public School District,5298,450,28350
Pine City Public School District,10829,1170,28380
Pine Island Public School District,6536,618,28950
Pine River-Backus Public School District,7521,972,28970
Princeton Public School District,20669,1452,30030
Prior Lake-Savage Area Schools,45144,2061,30060
Proctor Public School District,12768,761,30090
Randolph Public School District,2312,85,30150
Northland Community Schools,4616,707,30870
Red Lake Falls Public School District,2180,244,30450
Red Wing Public School District,19060,2347,30480
Red Lake Public School District,5859,1950,30510
Richfield Public School District,41311,3828,31750
Robbinsdale Public School District,103294,10476,31780
Rochester Public School District,127003,12067,31800
Rockford Public School District,10067,634,32070
Roseau Public School District,6615,471,32250
Roseville Public School District,57325,6070,32430
Rothsay Public School District,1065,54,32460
Royalton Public School District,3811,385,32520
Rush City Public School District,6396,515,32550
South Koochiching School District,1328,169,32700
Sartell-St. Stephen School District,18415,474,32820
Sauk Centre Public School District,7748,713,32850
Sebeka Public School District,2972,407,32970
Shakopee Public School District,46001,2776,33000
Sleepy Eye Public School District,5348,540,33210
South St. Paul Public School District,19955,2160,33270
Spring Grove School District,2109,199,33300
Spring Lake Park Public Schools,32255,2336,33330
Springfield Public School District,3154,210,33390
St. Anthony-New Brighton Schools,11166,574,33420
St. Charles Public School District,6100,496,33450
St. Clair Public School District,2638,141,33480
St. Cloud Public School District,100759,18489,33510
St. Francis Public School District,32369,1507,33540
St. James Public School District,6201,736,33600
St. Louis Park Public School District,46738,3462,33780
St. Michael-Albertville School District,24081,225,33790
South Washington County School District,98542,3960,33810
St. Paul Public School District,302760,58763,33840
St. Peter Public School District,15389,1813,33870
Staples-Motley School District,9616,1302,33900
Stewartville Public School District,9252,802,38160
Stillwater Area Public School District,65062,2906,38190
Swanville Public School District,1744,135,38280
Thief River Falls School District,13736,1283,38850
Esko Public School District,5111,90,38880
Triton School District,7140,666,40665
Truman Public School District,2247,265,40680
Lake Superior Public School District,13028,1046,40740
Ulen-Hitterdal Public School District,1731,99,40810
Underwood Public School District,2492,241,40830
Upsala Public School District,2031,185,40860
Verndale Public School District,1678,222,40920
Virginia Public School District,10781,2163,41040
Wabasha-Kellogg Public School District,5122,357,41060
Waseca Public School District,12032,1072,41880
Wabasso Public School District,2489,160,41430
Waconia Public School District,21275,688,41460
Warroad Public School District,5970,695,41850
Watertown-Mayer Public School District,9833,526,41910
Wayzata Public School District,69279,2780,42160
White Bear Lake School District,65782,3055,42360
Willmar Public School District,25711,3312,42720
Willow River Public School District,3434,412,42750
Windom Public School District,6115,791,42780
Winona Area Public School District,39562,5831,44070
Worthington Public School District,16278,2599,44160
Wrenshall Public School District,1872,140,44190
Zumbrota-Mazeppa School District,7172,450,45735
Tri-County School District,1969,258,91446
Kittson Central School District,2019,174,91447
Norman County West School District,1480,197,91448
Win-E-Mac School District,3315,340,91449
Mesabi East School District,7357,891,91450
Le Sueur-Henderson School District,7302,604,18070
North St. Paul-Maplewood-Oakdale School District,80283,6323,23850
Lac Qui Parle Valley School District,6206,764,00125
Tracy Area Public School District,5239,534,00326
Alden-Conger Public School District,1322,58,03030
Buffalo Lake-Hector-Stewart Public Schools,3913,413,00023
M.A.C.C.R.A.Y. School District,4655,354,00091
Yellow Medicine East,6610,955,00099
Fillmore Central,4978,777,00100
West Central Area,5023,430,00104
Howard Lake-Waverly-Winsted,8746,436,00123
Blue Earth Area Public Schools,7695,836,00130
Clinton-Graceville-Beardsley,2383,230,00150
Plainview-Elgin-Millville,7857,371,00287
RTR Public Schools,3646,389,00294
Ortonville Public Schools,3364,395,00328
Bird Island-Olivia-Lake Lillian,4924,511,05660
Buffalo-Hanover-Montrose Public Schools,33709,2136,07200
Cass Lake-Bena Public Schools,4182,1207,08070
Eastern Carver County Public Schools,58394,2465,08190
Climax-Shelly Public Schools,832,115,09360
ROCORI Public School District,13312,898,09440
Dilworth-Glyndon-Felton,5729,401,10260
G.F.W. Schools,5853,517,12580
Granada-Huntley-East Chain,1853,127,13040
International Falls School District,9425,1586,15000
Kerkhoven-Murdock-Sunburg,2787,267,17120
LeRoy-Ostrander Public Schools,2026,179,18060
Martin County West School District,4414,456,18960
Belgrade-Brooten-Elrosa Public School District,4375,382,00105
Central Public School District,8377,295,23910
Pequot Lakes Public Schools,10002,782,28200
Waterville-Elysian-Morristown Public School District,6728,422,00013
A.C.G.C. Public School District,5663,615,00106
Tri-City United School District,12618,1274,00379
Perham-Dent Public School District,10809,807,28230
Rosemount-Apple Valley-Eagan,152507,8207,32390
Sauk Rapids-Rice Public Schools,23850,2944,32880
Waubun-Ogema-White Earth Public Schools,3305,685,42120
West St. Paul-Mendota Heights-Eagan,43260,4139,42270
Wheaton Area Public School District,2140,243,42330
Lake Crystal-Wellcome Memorial,6132,295,91445
Janesville-Waldorf-Pemberton,5136,370,91451
Brandon-Evansville Public Schools,3475,330,00382
Morris Area Public Schools,7859,1303,00383
Red Lake County Central Public Schools,2113,158,00385
Remainder of Minnesota,7947,1057,99999
Brooklyn Center School District,8556,1840,06240
Browerville Public School District,4134,655,06300
Burnsville Public School District,68028,5310,07290
Butterfield Public School District,1052,121,07320
Byron Public School District,8181,178,07350
Caledonia Public School District,5858,501,07380
Cambridge-Isanti Public School District,29987,1952,07410
Campbell-Tintah Public School District,568,18,07450
Canby Public School District,3244,345,07470
Cannon Falls Public School District,7789,693,07500
Carlton Public School District,4528,574,07590
Centennial Public School District,32656,1121,08100
Chatfield Public Schools,5055,259,08220
Franconia Public School District,244,7,08880
Chisholm Public School District,5854,1141,08910
Chokio-Alberta Public School District,1245,103,08940
Cleveland Public School District,2460,115,09330
Cloquet Public School District,14421,1922,09420
Greenway Public School District,8717,1227,09480
Columbia Heights Public School District,25919,3442,09510
Comfrey Public School District,944,80,09540
Cromwell-Wright Public Schools,1898,216,09690
Crookston Public School District,9603,1281,09720
Crosby-Ironton Public School District,11060,1248,09750
Dassel-Cokato Public School District,10179,710,10060
Dawson-Boyd Public School District,2942,200,10090
Deer River Public School District,5406,694,10140
Delano Public School District,11920,363,10170
Detroit Lakes Public School District,17747,2282,10230
Dover-Eyota Public School District,4119,153,11010
Duluth Public School District,93584,16008,11040
Edgerton Public School District,2358,131,11220
East Central School District,6697,791,11085
East Grand Forks Public School District,10138,1236,11130
Eden Valley-Watkins School District,4737,338,11190
Edina Public School District,42021,1634,11250
Elk River Public School District,73204,3257,11370
Ellsworth Public School District,949,93,11460
Ely Public School District,5003,417,11520
Minnetonka Public School District,41385,1544,11670
Faribault Public School District,30784,3691,11760
Farmington Public School District,35550,1083,11820
Fergus Falls Public School District,19541,1565,11880
Fertile-Beltrami School District,3039,285,11910
Fisher Public School District,861,64,12180
Floodwood Public School District,1480,158,12210
Foley Public School District,9531,489,12240
Forest Lake Public School District,48736,2072,12270
Fosston Public School District,3955,578,12300
Frazee-Vergas Public School District,6457,568,12360
Fridley Public School District,15600,1345,12420
Fulda Public School District,2475,233,12480
Goodhue Public School District,3071,98,12900
Goodridge Public School District,873,94,13020
Cook County Public Schools,5311,683,13110
Grand Meadow Public School District,1849,122,13140
Grand Rapids Public School District,27469,3466,13170
Hancock Public School District,1451,171,13380
Hastings Public School District,32440,1909,13530
Hawley Public School District,4346,199,13560
Hayfield Public School District,4836,426,13590
Hendricks Public School District,1026,84,13680
Henning Public School District,2938,339,13860
Herman-Norcross School District,907,84,13890
Hermantown Public School District,11799,585,13920
Heron Lake-Okabena School District,1603,147,13930
Hibbing Public School District,17235,2946,13980
Hill City Public School District,1471,184,14010
Hills-Beaver Creek School District,2142,153,14040
Mountain Iron-Buhl School District,4537,671,00001
United South Central School District,5782,754,00005
Maple River School District,6030,514,00006
Kingsland Public School District,5051,461,00007
St. Louis County School District,17531,1784,00008
Chisago Lakes School District,21424,1093,00017
Minnewaska School District,9385,619,00019
Eveleth-Gilbert School District,8757,1096,00021
Wadena-Deer Creek School District,7936,1337,00022
Warren-Alvarado-Oslo School District,3744,363,00024
Lakeview School District,2823,251,00088
NRHEG School District,5010,550,00089
Clearbrook-Gonvick School District,2751,423,00103
Murray County Central School District,4683,347,00090
Norman County East School District,1996,193,00101
Sibley East School District,7419,516,00102
Greenbush-Middle River School District,2767,232,00107
Pipestone Area School District,7121,885,00108
Long Prairie-Grey Eagle School District,8406,1283,00109
Cedar Mountain School District,2369,274,00110
Fairmont Area School District,12244,1869,00124
Ada-Borup Public School District,2622,222,00126
Stephen-Argyle Central Schools,1933,99,00127
Glencoe-Silver Lake School District,12812,1237,00128
Red Rock Central School District,3176,334,00132
Glenville-Emmons School District,2624,188,00148
Lake Park Audubon School District,5103,266,00162
Renville County West School District,4318,377,00163
Redwood Area School District,7988,903,00182
Westbrook-Walnut Grove Schools,2788,450,00183
Jackson County Central School District,7448,568,00231
Lester Prairie Public School District,3014,384,02640
Southland Public School District,3503,308,02720
Adrian Public School District,2275,174,02730
Aitkin Public School District,9541,1098,02760
Walker-Hackensack-Akeley School District,7258,950,02910
Albany Public School District,9531,556,02930
Albert Lea Public School District,23240,3159,02970
Alexandria Public School District,30214,2435,03060
Annandale Public School District,10792,487,03150
Anoka-Hennepin Public School District,238185,13158,03180
Ashby Public School District,1477,126,03300
Austin Public School District,28500,3982,03450
Badger Public School District,1148,135,03540
Bagley Public School District,6163,1053,03570
Barnesville Public School District,4532,169,03660
Barnum Public School District,3807,200,03690
Battle Lake Public School District,3864,285,03750
Becker Public School District,12126,344,03870
Belle Plaine Public School District,9364,581,04050
Bemidji Public School District,38522,5540,04440
Benson Public School District,5272,749,04470
Bertha-Hewitt Public School District,3413,415,05430
Big Lake Public School District,18424,1385,05460
Blackduck Public School District,3849,492,05730
Blooming Prairie Public School District,4227,422,05760
Bloomington Public School District,85355,5738,05790
Braham Public School District,5911,781,06060
Brainerd Public School District,43250,4524,06090
Breckenridge Public School District,4747,505,06150
Hinckley-Finlayson School District,6889,928,14070
Houston Public School District,2761,266,14280
Holdingford Public School District,4818,165,14190
Eden Prairie Public School District,60601,3269,14220
Hopkins Public School District,65199,4148,14260
Hutchinson Public School District,17798,1334,14970
Inver Grove Heights Schools,29301,2659,15030
Isle Public School District,3120,393,15510
Jordan Public School District,9566,968,15750
Prinsburg Public School District,819,62,16830
Kasson-Mantorville School District,10128,221,16980
Kelliher Public School District,1076,190,17010
Kenyon-Wanamingo School District,5754,435,17100
Kimball Public School District,4745,267,17220
La Crescent-Hokah School District,8447,437,17250
Lake City Public School District,8900,645,17520
Lake of the Woods School District,3419,340,17570
Lakeville Public School District,56181,2282,17780
Lancaster Public School District,741,41,17880
Lanesboro Public School District,1538,153,17910
Laporte Public School District,1733,181,17940
Lewiston-Altura Public School District,4319,418,18090
Litchfield Public School District,11377,845,18210
Little Falls Public School District,17200,2221,18240
Littlefork-Big Falls School District,1582,210,18270
Luverne Public School District,6869,714,18330
Lyle Public School District,1067,193,18360
Mabel-Canton Public School District,2418,327,18540
Madelia Public School District,3722,472,18570
Mahnomen Public School District,3697,836,18660
Mahtomedi Public School District,14476,778,18750
Mankato Public School District,65997,11432,18780
Maple Lake Public School District,4836,335,18810
Grygla Public School District,900,76,18920
Marshall Public School District,15584,2419,18940
McGregor Public School District,4203,624,19170
Medford Public School District,3230,326,19320
Melrose Public School District,9181,529,20550
Menahga Public School District,3776,482,20580
Milaca Public School District,11916,1085,20670
Minneapolis Public School District,415935,79847,21240
Minneota Public School District,2671,169,21270
Montevideo Public School District,7236,733,21320
Monticello Public School District,21375,932,21390
Moorhead Public School District,46743,5989,21420
Moose Lake Public School District,5776,1110,21450
Mora Public School District,10603,1139,21480
Westonka Public School District,19154,776,22920
Mounds View Public School District,79439,5439,22950
Mountain Lake Public Schools,2993,398,23010
Nashwauk-Keewatin School District,3738,483,23310
