District Number,District Name,Total Enrollment,Total Students of Color or American Indian Count,Total Students of Color or American Indian Percent,Total Students Receiving Special Education Services Count,Total Students Receiving Special Education Services Percent,Total Female Count,Total Female Percent,Total Male Count,Total Male Percent,Total English Learner,Total English Learner Percent
2396,A.C.G.C. Public School District,817,86,10.53%,166,20.32%,391,47.86%,426,52.14%,13,1.59%
2854,Ada-Borup Public School District,709,148,20.87%,136,19.18%,343,48.38%,366,51.62%,9,1.27%
511,Adrian Public School District,574,109,18.99%,88,15.33%,290,50.52%,284,49.48%,32,5.57%
1,Aitkin Public School District,1186,84,7.08%,208,17.54%,562,47.39%,624,52.61%,2,0.17%
745,Albany Public School District,1768,76,4.30%,293,16.57%,899,50.85%,869,49.15%,13,0.74%
241,Albert Lea Public School District,3595,1301,36.19%,687,19.11%,1702,47.34%,1893,52.66%,302,8.40%
242,Alden-Conger Public School District,507,47,9.27%,89,17.55%,259,51.08%,248,48.92%,0,0.00%
206,Alexandria Public School District,4191,343,8.18%,765,18.25%,2022,48.25%,2169,51.75%,28,0.67%
876,Annandale Public School District,1974,160,8.11%,355,17.98%,977,49.49%,997,50.51%,11,0.56%
11,Anoka-Hennepin Public School District,38802,12426,32.02%,6477,16.69%,18760,48.35%,20042,51.65%,2549,6.57%
261,Ashby Public School District,293,11,3.75%,40,13.65%,141,48.12%,152,51.88%,3,1.02%
492,Austin Public School District,5293,2686,50.75%,962,18.17%,2588,48.89%,2705,51.11%,989,18.69%
676,Badger Public School District,220,19,8.64%,32,14.55%,104,47.27%,116,52.73%,0,0.00%
162,Bagley Public School District,1024,293,28.61%,185,18.07%,494,48.24%,530,51.76%,0,0.00%
146,Barnesville Public School District,868,44,5.07%,110,12.67%,394,45.39%,474,54.61%,0,0.00%
91,Barnum Public School District,714,55,7.70%,119,16.67%,329,46.08%,385,53.92%,1,0.14%
542,Battle Lake Public School District,428,47,10.98%,57,13.32%,199,46.50%,229,53.50%,1,0.23%
726,Becker Public School District,2942,213,7.24%,443,15.06%,1489,50.61%,1453,49.39%,30,1.02%
2364,Belgrade-Brooten-Elrosa Public School District,655,72,10.99%,99,15.11%,309,47.18%,346,52.82%,38,5.80%
716,Belle Plaine Public School District,1627,216,13.28%,292,17.95%,782,48.06%,845,51.94%,21,1.29%
31,Bemidji Public School District,5230,1515,28.97%,1045,19.98%,2445,46.75%,2785,53.25%,10,0.19%
777,Benson Public School District,838,125,14.92%,163,19.45%,407,48.57%,431,51.43%,18,2.15%
786,Bertha-Hewitt Public School District,494,35,7.09%,106,21.46%,231,46.76%,263,53.24%,0,0.00%
727,Big Lake Public School District,3056,449,14.69%,477,15.61%,1532,50.13%,1524,49.87%,54,1.77%
2534,Bird Island-Olivia-Lake Lillian,684,112,16.37%,84,12.28%,318,46.49%,366,53.51%,26,3.80%
32,Blackduck Public School District,674,136,20.18%,129,19.14%,324,48.07%,350,51.93%,7,1.04%
756,Blooming Prairie Public School District,759,84,11.07%,105,13.83%,368,48.48%,391,51.52%,9,1.19%
271,Bloomington Public School District,10641,5499,51.68%,1720,16.16%,5086,47.80%,5555,52.20%,1469,13.81%
2860,Blue Earth Area Public Schools,1035,186,17.97%,112,10.82%,486,46.96%,549,53.04%,36,3.48%
314,Braham Public School District,755,46,6.09%,143,18.94%,362,47.95%,393,52.05%,1,0.13%
181,Brainerd Public School District,6812,571,8.38%,1566,22.99%,3333,48.93%,3479,51.07%,17,0.25%
2908,Brandon-Evansville Public Schools,485,21,4.33%,65,13.40%,232,47.84%,253,52.16%,0,0.00%
846,Breckenridge Public School District,643,105,16.33%,152,23.64%,301,46.81%,342,53.19%,13,2.02%
286,Brooklyn Center School District,2492,2005,80.46%,408,16.37%,1248,50.08%,1244,49.92%,471,18.90%
787,Browerville Public School District,566,44,7.77%,121,21.38%,242,42.76%,324,57.24%,10,1.77%
801,Browns Valley Public School District,173,101,58.38%,40,23.12%,81,46.82%,92,53.18%,0,0.00%
2159,Buffalo Lake-Hector-Stewart Public Schools,504,78,15.48%,81,16.07%,244,48.41%,260,51.59%,18,3.57%
877,Buffalo-Hanover-Montrose Public Schools,5860,561,9.57%,965,16.47%,2874,49.04%,2986,50.96%,77,1.31%
191,Burnsville Public School District,8874,5427,61.16%,1525,17.19%,4336,48.86%,4538,51.14%,1542,17.38%
836,Butterfield Public School District,208,130,62.50%,42,20.19%,102,49.04%,106,50.96%,67,32.21%
531,Byron Public School District,2114,183,8.66%,223,10.55%,1032,48.82%,1082,51.18%,18,0.85%
299,Caledonia Public School District,718,28,3.90%,121,16.85%,333,46.38%,385,53.62%,0,0.00%
911,Cambridge-Isanti Public School District,5040,552,10.95%,905,17.96%,2419,48.00%,2621,52.00%,46,0.91%
852,Campbell-Tintah Public School District,144,19,13.19%,30,20.83%,68,47.22%,76,52.78%,0,0.00%
891,Canby Public School District,579,37,6.39%,90,15.54%,292,50.43%,287,49.57%,2,0.35%
252,Cannon Falls Public School District,1158,98,8.46%,151,13.04%,553,47.75%,605,52.25%,5,0.43%
93,Carlton Public School District,435,89,20.46%,87,20.00%,189,43.45%,246,56.55%,0,0.00%
115,Cass Lake-Bena Public Schools,1211,1123,92.73%,292,24.11%,580,47.89%,631,52.11%,0,0.00%
2754,Cedar Mountain School District,485,122,25.15%,125,25.77%,203,41.86%,282,58.14%,0,0.00%
12,Centennial Public School District,6740,1305,19.36%,1195,17.73%,3303,49.01%,3437,50.99%,192,2.85%
108,Central Public School District,986,129,13.08%,165,16.73%,474,48.07%,512,51.93%,21,2.13%
227,Chatfield Public Schools,873,48,5.50%,108,12.37%,414,47.42%,459,52.58%,0,0.00%
2144,Chisago Lakes School District,3475,233,6.71%,489,14.07%,1685,48.49%,1790,51.51%,18,0.52%
695,Chisholm Public School District,726,68,9.37%,134,18.46%,371,51.10%,355,48.90%,0,0.00%
771,Chokio-Alberta Public School District,155,3,1.94%,34,21.94%,72,46.45%,83,53.55%,0,0.00%
2311,Clearbrook-Gonvick School District,464,111,23.92%,86,18.53%,217,46.77%,247,53.23%,0,0.00%
391,Cleveland Public School District,524,47,8.97%,50,9.54%,268,51.15%,256,48.85%,1,0.19%
592,Climax-Shelly Public Schools,222,52,23.42%,58,26.13%,131,59.01%,91,40.99%,0,0.00%
2888,Clinton-Graceville-Beardsley,322,12,3.73%,61,18.94%,174,54.04%,148,45.96%,16,4.97%
94,Cloquet Public School District,2654,731,27.54%,569,21.44%,1264,47.63%,1390,52.37%,3,0.11%
13,Columbia Heights Public School District,3398,2791,82.14%,555,16.33%,1664,48.97%,1734,51.03%,930,27.37%
81,Comfrey Public School District,148,16,10.81%,36,24.32%,77,52.03%,71,47.97%,1,0.68%
166,Cook County Public Schools,500,137,27.40%,111,22.20%,216,43.20%,284,56.80%,0,0.00%
95,Cromwell-Wright Public Schools,331,31,9.37%,52,15.71%,152,45.92%,179,54.08%,0,0.00%
593,Crookston Public School District,1191,400,33.59%,216,18.14%,585,49.12%,606,50.88%,47,3.95%
182,Crosby-Ironton Public School District,1048,89,8.49%,244,23.28%,517,49.33%,531,50.67%,1,0.10%
466,Dassel-Cokato Public School District,2250,168,7.47%,335,14.89%,1072,47.64%,1178,52.36%,18,0.80%
378,Dawson-Boyd Public School District,568,72,12.68%,121,21.30%,258,45.42%,310,54.58%,11,1.94%
317,Deer River Public School District,971,458,47.17%,216,22.25%,444,45.73%,527,54.27%,2,0.21%
879,Delano Public School District,2501,154,6.16%,341,13.63%,1229,49.14%,1272,50.86%,20,0.80%
22,Detroit Lakes Public School District,3047,755,24.78%,655,21.50%,1474,48.38%,1573,51.62%,7,0.23%
2164,Dilworth-Glyndon-Felton,1642,215,13.09%,296,18.03%,810,49.33%,832,50.67%,28,1.71%
533,Dover-Eyota Public School District,1101,72,6.54%,139,12.62%,536,48.68%,565,51.32%,8,0.73%
709,Duluth Public School District,8706,2018,23.18%,1598,18.36%,4262,48.95%,4444,51.05%,55,0.63%
2580,East Central School District,770,113,14.68%,140,18.18%,368,47.79%,402,52.21%,0,0.00%
595,East Grand Forks Public School District,1965,529,26.92%,319,16.23%,948,48.24%,1017,51.76%,168,8.55%
112,Eastern Carver County Public Schools,9829,2314,23.54%,1334,13.57%,4767,48.50%,5062,51.50%,446,4.54%
272,Eden Prairie Public School District,8899,3831,43.05%,1025,11.52%,4300,48.32%,4599,51.68%,770,8.65%
463,Eden Valley-Watkins School District,971,62,6.39%,153,15.76%,469,48.30%,502,51.70%,7,0.72%
581,Edgerton Public School District,427,109,25.53%,53,12.41%,208,48.71%,219,51.29%,35,8.20%
273,Edina Public School District,8510,2284,26.84%,980,11.52%,4155,48.82%,4355,51.18%,451,5.30%
728,Elk River Public School District,13670,1889,13.82%,2219,16.23%,6620,48.43%,7050,51.57%,286,2.09%
514,Ellsworth Public School District,142,5,3.52%,28,19.72%,73,51.41%,69,48.59%,0,0.00%
696,Ely Public School District,573,58,10.12%,71,12.39%,289,50.44%,284,49.56%,0,0.00%
99,Esko Public School District,1283,100,7.79%,157,12.24%,632,49.26%,651,50.74%,2,0.16%
2154,Eveleth-Gilbert School District,738,54,7.32%,84,11.38%,379,51.36%,359,48.64%,0,0.00%
2752,Fairmont Area School District,1727,343,19.86%,260,15.06%,883,51.13%,844,48.87%,99,5.73%
656,Faribault Public School District,3652,2001,54.79%,573,15.69%,1746,47.81%,1906,52.19%,834,22.84%
192,Farmington Public School District,7313,1476,20.18%,1160,15.86%,3506,47.94%,3807,52.06%,302,4.13%
544,Fergus Falls Public School District,2890,393,13.60%,354,12.25%,1468,50.80%,1422,49.20%,36,1.25%
599,Fertile-Beltrami School District,476,31,6.51%,61,12.82%,231,48.53%,245,51.47%,0,0.00%
2198,Fillmore Central,621,28,4.51%,73,11.76%,312,50.24%,309,49.76%,0,0.00%
600,Fisher Public School District,274,48,17.52%,66,24.09%,130,47.45%,144,52.55%,3,1.09%
698,Floodwood Public School District,222,33,14.86%,38,17.12%,118,53.15%,104,46.85%,0,0.00%
51,Foley Public School District,1964,63,3.21%,290,14.77%,963,49.03%,1001,50.97%,1,0.05%
831,Forest Lake Public School District,6148,874,14.22%,966,15.71%,2935,47.74%,3213,52.26%,134,2.18%
601,Fosston Public School District,614,96,15.64%,106,17.26%,281,45.77%,333,54.23%,1,0.16%
23,Frazee-Vergas Public School District,904,131,14.49%,180,19.91%,446,49.34%,458,50.66%,1,0.11%
14,Fridley Public School District,3039,1962,64.56%,417,13.72%,1476,48.57%,1563,51.43%,406,13.36%
505,Fulda Public School District,346,66,19.08%,62,17.92%,164,47.40%,182,52.60%,28,8.09%
2365,G.F.W. Schools,704,145,20.60%,139,19.74%,360,51.14%,344,48.86%,35,4.97%
2859,Glencoe-Silver Lake School District,1626,373,22.94%,262,16.11%,800,49.20%,826,50.80%,95,5.84%
2886,Glenville-Emmons School District,242,17,7.02%,48,19.83%,120,49.59%,122,50.41%,0,0.00%
253,Goodhue Public School District,673,63,9.36%,14,2.08%,334,49.63%,339,50.37%,33,4.90%
561,Goodridge Public School District,250,29,11.60%,39,15.60%,129,51.60%,121,48.40%,0,0.00%
2536,Granada-Huntley-East Chain,309,17,5.50%,41,13.27%,150,48.54%,159,51.46%,0,0.00%
495,Grand Meadow Public School District,438,38,8.68%,56,12.79%,220,50.23%,218,49.77%,0,0.00%
318,Grand Rapids Public School District,4149,601,14.49%,775,18.68%,2016,48.59%,2133,51.41%,2,0.05%
2683,Greenbush-Middle River School District,283,13,4.59%,57,20.14%,132,46.64%,151,53.36%,0,0.00%
316,Greenway Public School District,1067,167,15.65%,262,24.55%,502,47.05%,565,52.95%,2,0.19%
447,Grygla Public School District,149,7,4.70%,19,12.75%,73,48.99%,76,51.01%,0,0.00%
768,Hancock Public School District,369,45,12.20%,68,18.43%,173,46.88%,196,53.12%,17,4.61%
200,Hastings Public School District,4391,601,13.69%,648,14.76%,2175,49.53%,2216,50.47%,51,1.16%
150,Hawley Public School District,975,58,5.95%,112,11.49%,463,47.49%,512,52.51%,20,2.05%
203,Hayfield Public School District,685,76,11.09%,101,14.74%,345,50.36%,340,49.64%,0,0.00%
402,Hendricks Public School District,138,15,10.87%,24,17.39%,68,49.28%,70,50.72%,3,2.17%
545,Henning Public School District,368,21,5.71%,59,16.03%,179,48.64%,189,51.36%,3,0.82%
264,Herman-Norcross School District,99,14,14.14%,21,21.21%,44,44.44%,55,55.56%,0,0.00%
700,Hermantown Public School District,2110,173,8.20%,300,14.22%,1031,48.86%,1079,51.14%,10,0.47%
330,Heron Lake-Okabena School District,300,49,16.33%,59,19.67%,128,42.67%,172,57.33%,16,5.33%
701,Hibbing Public School District,2407,307,12.75%,457,18.99%,1191,49.48%,1216,50.52%,4,0.17%
2,Hill City Public School District,267,30,11.24%,72,26.97%,134,50.19%,133,49.81%,0,0.00%
671,Hills-Beaver Creek School District,364,23,6.32%,40,10.99%,178,48.90%,186,51.10%,0,0.00%
2165,Hinckley-Finlayson School District,976,259,26.54%,141,14.45%,482,49.39%,494,50.61%,4,0.41%
738,Holdingford Public School District,1064,25,2.35%,157,14.76%,519,48.78%,545,51.22%,3,0.28%
270,Hopkins Public School District,6883,3238,47.04%,1036,15.05%,3346,48.61%,3537,51.39%,522,7.58%
294,Houston Public School District,1976,497,25.15%,360,18.22%,1073,54.30%,903,45.70%,21,1.06%
2687,Howard Lake-Waverly-Winsted,1252,113,9.03%,187,14.94%,616,49.20%,636,50.80%,11,0.88%
423,Hutchinson Public School District,2944,412,13.99%,457,15.52%,1424,48.37%,1520,51.63%,109,3.70%
361,International Falls School District,1011,122,12.07%,176,17.41%,501,49.55%,510,50.45%,7,0.69%
199,Inver Grove Heights Schools,3633,1723,47.43%,497,13.68%,1759,48.42%,1874,51.58%,354,9.74%
473,Isle Public School District,432,96,22.22%,98,22.69%,199,46.06%,233,53.94%,2,0.46%
403,Ivanhoe Public School District,91,4,4.40%,22,24.18%,38,41.76%,53,58.24%,0,0.00%
2895,Jackson County Central School District,1180,157,13.31%,203,17.20%,556,47.12%,624,52.88%,8,0.68%
2835,Janesville-Waldorf-Pemberton,705,49,6.95%,137,19.43%,356,50.50%,349,49.50%,0,0.00%
717,Jordan Public School District,1908,365,19.13%,314,16.46%,926,48.53%,982,51.47%,75,3.93%
204,Kasson-Mantorville School District,2222,205,9.23%,289,13.01%,1099,49.46%,1123,50.54%,36,1.62%
36,Kelliher Public School District,285,143,50.18%,55,19.30%,140,49.12%,145,50.88%,0,0.00%
2172,Kenyon-Wanamingo School District,770,78,10.13%,115,14.94%,340,44.16%,430,55.84%,26,3.38%
775,Kerkhoven-Murdock-Sunburg,729,100,13.72%,117,16.05%,359,49.25%,370,50.75%,18,2.47%
739,Kimball Public School District,758,39,5.15%,114,15.04%,347,45.78%,411,54.22%,0,0.00%
2137,Kingsland Public School District,554,35,6.32%,86,15.52%,253,45.67%,301,54.33%,0,0.00%
2171,Kittson Central School District,230,23,10.00%,29,12.61%,108,46.96%,122,53.04%,3,1.30%
300,La Crescent-Hokah School District,1108,120,10.83%,183,16.52%,531,47.92%,577,52.08%,1,0.09%
2853,Lac Qui Parle Valley School District,804,197,24.50%,136,16.92%,384,47.76%,420,52.24%,73,9.08%
404,Lake Benton Public School District,144,8,5.56%,20,13.89%,67,46.53%,77,53.47%,0,0.00%
813,Lake City Public School District,1253,127,10.14%,186,14.84%,617,49.24%,636,50.76%,34,2.71%
2071,Lake Crystal-Wellcome Memorial,915,68,7.43%,136,14.86%,468,51.15%,447,48.85%,5,0.55%
390,Lake of the Woods School District,477,67,14.05%,59,12.37%,230,48.22%,247,51.78%,0,0.00%
2889,Lake Park Audubon School District,716,84,11.73%,116,16.20%,342,47.77%,374,52.23%,2,0.28%
381,Lake Superior Public School District,1391,64,4.60%,229,16.46%,662,47.59%,729,52.41%,0,0.00%
2167,Lakeview School District,647,68,10.51%,119,18.39%,316,48.84%,331,51.16%,13,2.01%
194,Lakeville Public School District,11204,2355,21.02%,1583,14.13%,5441,48.56%,5763,51.44%,334,2.98%
356,Lancaster Public School District,162,9,5.56%,39,24.07%,83,51.23%,79,48.77%,0,0.00%
229,Lanesboro Public School District,347,13,3.75%,40,11.53%,163,46.97%,184,53.03%,0,0.00%
306,Laporte Public School District,338,82,24.26%,69,20.41%,156,46.15%,182,53.85%,0,0.00%
2397,Le Sueur-Henderson School District,1026,250,24.37%,161,15.69%,512,49.90%,514,50.10%,52,5.07%
499,LeRoy-Ostrander Public Schools,266,27,10.15%,42,15.79%,134,50.38%,132,49.62%,4,1.50%
424,Lester Prairie Public School District,434,94,21.66%,68,15.67%,195,44.93%,239,55.07%,43,9.91%
857,Lewiston-Altura Public School District,745,88,11.81%,125,16.78%,372,49.93%,373,50.07%,10,1.34%
465,Litchfield Public School District,1578,207,13.12%,274,17.36%,756,47.91%,822,52.09%,37,2.34%
482,Little Falls Public School District,2536,295,11.63%,472,18.61%,1210,47.71%,1326,52.29%,62,2.44%
362,Littlefork-Big Falls School District,327,33,10.09%,45,13.76%,172,52.60%,155,47.40%,0,0.00%
